image,animal,species,condition,region
GtDeer_treatment_cerebellum_4x_01.tif,J2009,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_02.tif,J2065,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_03.tif,J2066,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_04.tif,L612,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_05.tif,L616,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_06.tif,L617,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_07.tif,L1424,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_08.tif,M1216,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_09.tif,M1216,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_10.tif,M1213,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_11.tif,M1217,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_12.tif,M1213,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_13.tif,M1217,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_14.tif,M1290,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_15.tif,M1295,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_16.tif,M1288,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_17.tif,M1506,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_18.tif,M1506,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_19.tif,M1297,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_20.tif,M1304,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_21.tif,M1297,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_22.tif,M1304,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_23.tif,M1310,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_24.tif,M1311,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_25.tif,M1310,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_26.tif,M1311,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_27.tif,N1326,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_28.tif,N1326,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_29.tif,M1318,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_30.tif,M1318,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_31.tif,M1322,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_32.tif,M1337,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_33.tif,M1337,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_34.tif,M1347,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_35.tif,M1350,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_36.tif,M1352,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_37.tif,M1357,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_38.tif,M1363,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_39.tif,M1363,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_40.tif,M1298,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_41.tif,M1299,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_42.tif,M1309,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_43.tif,M1362,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_44.tif,G1398,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_45.tif,G1398,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_46.tif,G1399,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_47.tif,G1402,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_48.tif,G1398,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_49.tif,H562,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_50.tif,H562,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_51.tif,H563,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_52.tif,UNKNOWN,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_53.tif,UNKNOWN,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_54.tif,G1115,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_55.tif,G1115,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_56.tif,H1077,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_57.tif,H1077,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_58.tif,H1490,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_59.tif,H1490,deer,treatment,cerebellum
GtDeer_treatment_cerebellum_4x_60.tif,P33,deer,treatment,cerebellum
